study,site,sample_year,sample_month,latitude,longitude,sample_unit_size_sq_m,sasdate,max_depth,mean_depth,min_depth,biomass_kg_wet_per_sq_m,stipe_density_num_per_sq_m,individual_density_num_per_sq_m,percent_cover,has_bm,has_sd,has_id,has_pc,use_which,focalKelp,focalUnit,geometry,ecoregion,province,realm,focal_std_by_ecoregion,focal_std_by_province,focal_std_by_realm,focal_std_by_all,ln_focal_std_by_ecoregion,ln_focal_std_by_province,ln_focal_std_by_realm,ln_focal_std_by_all,date,month,year,year_f,year_c,trajectory,n_per_trajectory
dmr_rasher_steneck,10_2_115,2018,5,44.6509,-67.3277,1,2018-05-21,10,10,10,NA,NA,NA,15,54,0,0,2952,4,15,percent_cover,"c(-67.3277, 44.6509)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.13641530882910194,0.13074124753443025,0.13074124753443025,0.13074124753443025,-1.921308114417036,-1.9608321983759414,-1.9608321983759414,-1.9608321983759414,2018-05-21,5,2018,2018,7.44705641864266,dmr_rasher_steneck 10_2_115,4
dmr_rasher_steneck,10_2_133,2007,6,44.5841,-67.358,1,2007-06-27,10,10,10,NA,NA,NA,6.5,54,0,0,2952,4,6.5,percent_cover,"c(-67.358, 44.5841)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.05911330049261084,0.05665454059825311,0.05665454059825311,0.05665454059825311,-2.6720080849274175,-2.7082321086725925,-2.7082321086725925,-2.7082321086725925,2007-06-27,6,2007,2007,-3.55294358135734,dmr_rasher_steneck 10_2_133,3
dmr_rasher_steneck,10_2_133,2013,6,44.58406,-67.358,1,2013-06-10,10,10,10,NA,NA,NA,8,54,0,0,2952,4,8,percent_cover,"c(-67.358, 44.58406)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.07275483137552104,0.06972866535169614,0.06972866535169614,0.06972866535169614,-2.491872881226643,-2.5291260922077896,-2.5291260922077896,-2.5291260922077896,2013-06-10,6,2013,2013,2.44705641864266,dmr_rasher_steneck 10_2_133,3
dmr_rasher_steneck,10_2_133,2017,6,44.5852,-67.3524,1,2017-06-15,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-67.3524, 44.5852)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091,2017-06-15,6,2017,2017,6.44705641864266,dmr_rasher_steneck 10_2_133,3
dmr_rasher_steneck,10_2_134,2007,6,44.6147,-67.273,1,2007-06-27,10,10,10,NA,NA,NA,29,54,0,0,2952,4,29,percent_cover,"c(-67.273, 44.6147)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.26373626373626374,0.2527664118998985,0.2527664118998985,0.2527664118998985,-1.295590177242761,-1.3364898091399784,-1.3364898091399784,-1.3364898091399784,2007-06-27,6,2007,2007,-3.55294358135734,dmr_rasher_steneck 10_2_134,3
dmr_rasher_steneck,10_2_134,2013,6,44.60883,-67.2639,1,2013-06-14,10,10,10,NA,NA,NA,10,54,0,0,2952,4,10,percent_cover,"c(-67.2639, 44.60883)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.09094353921940129,0.08716083168962017,0.08716083168962017,0.08716083168962017,-2.2931939360791787,-2.3313876148845942,-2.3313876148845942,-2.3313876148845942,2013-06-14,6,2013,2013,2.44705641864266,dmr_rasher_steneck 10_2_134,3
dmr_rasher_steneck,10_2_134,2016,6,44.6089,-67.2639,1,2016-06-18,10,10,10,NA,NA,NA,35,54,0,0,2952,4,35,percent_cover,"c(-67.2639, 44.6089)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.3183023872679045,0.3050629109136706,0.3050629109136706,0.3050629109136706,-1.1138201828960799,-1.1549829429110703,-1.1549829429110703,-1.1549829429110703,2016-06-18,6,2016,2016,5.44705641864266,dmr_rasher_steneck 10_2_134,3
dmr_rasher_steneck,10_2_144,2008,5,44.20083,-68.95551,1,2008-05-20,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.95551, 44.20083)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091,2008-05-20,5,2008,2008,-2.55294358135734,dmr_rasher_steneck 10_2_144,3
dmr_rasher_steneck,10_2_144,2011,5,44.20533,-68.95215,1,2011-05-26,10,10,10,NA,NA,NA,14,54,0,0,2952,4,14,percent_cover,"c(-68.95215, 44.20533)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.1273209549071618,0.12202516436546823,0.12202516436546823,0.12202516436546823,-1.9854343565342008,-2.0247627354327613,-2.0247627354327613,-2.0247627354327613,2011-05-26,5,2011,2011,0.44705641864266,dmr_rasher_steneck 10_2_144,3
dmr_rasher_steneck,10_2_144,2015,5,44.2015,-68.9553,1,2015-05-14,10,10,10,NA,NA,NA,2.5,54,0,0,2952,4,2.5,percent_cover,"c(-68.9553, 44.2015)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.022735884804850323,0.021790207922405044,0.021790207922405044,0.021790207922405044,-3.419283408132531,-3.4485969635836446,-3.4485969635836446,-3.4485969635836446,2015-05-14,5,2015,2015,4.44705641864266,dmr_rasher_steneck 10_2_144,3
dmr_rasher_steneck,10_2_15,2001,6,43.91571,-69.37804,1,2001-06-07,10,10,10,NA,NA,NA,22.8,54,0,0,2952,4,22.8,percent_cover,"c(-69.37804, 43.91571)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.20735126942023496,0.198726696252334,0.198726696252334,0.198726696252334,-1.5262404811216264,-1.5667295562021493,-1.5667295562021493,-1.5667295562021493,2001-06-07,6,2001,2001,-9.55294358135734,dmr_rasher_steneck 10_2_15,4
dmr_rasher_steneck,10_2_15,2012,5,43.91136,-69.3828,1,2012-05-04,10,10,10,NA,NA,NA,1,54,0,0,2952,4,1,percent_cover,"c(-69.3828, 43.91136)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.00909435392194013,0.008716083168962017,0.008716083168962017,0.008716083168962017,-3.958362593810817,-3.9783720622520917,-3.9783720622520917,-3.9783720622520917,2012-05-04,5,2012,2012,1.44705641864266,dmr_rasher_steneck 10_2_15,4
dmr_rasher_steneck,10_2_15,2014,5,43.9159,-69.378,1,2014-05-08,10,10,10,NA,NA,NA,55,54,0,0,2952,4,55,percent_cover,"c(-69.378, 43.9159)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.5001894657067071,0.4793845742929109,0.4793845742929109,0.4793845742929109,-0.6729731208676193,-0.7146066481006611,-0.7146066481006611,-0.7146066481006611,2014-05-08,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_15,4
dmr_rasher_steneck,10_2_15,2016,5,43.9147,-69.381,1,2016-05-13,10,10,10,NA,NA,NA,64.5,54,0,0,2952,4,64.5,percent_cover,"c(-69.381, 43.9147)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.5865858279651384,0.5621873643980501,0.5621873643980501,0.5621873643980501,-0.516532161851523,-0.5582887811019971,-0.5582887811019971,-0.5582887811019971,2016-05-13,5,2016,2016,5.44705641864266,dmr_rasher_steneck 10_2_15,4
dmr_rasher_steneck,10_2_159,2008,6,44.48321,-67.55694,1,2008-06-12,10,10,10,NA,NA,NA,69,54,0,0,2952,4,69,percent_cover,"c(-67.55694, 44.48321)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.627510420613869,0.6014097386583792,0.6014097386583792,0.6014097386583792,-0.4501846560221803,-0.49198794119563655,-0.49198794119563655,-0.49198794119563655,2008-06-12,6,2008,2008,-2.55294358135734,dmr_rasher_steneck 10_2_159,3
dmr_rasher_steneck,10_2_159,2010,6,44.490294,-67.556755,1,2010-06-08,10,10,10,NA,NA,NA,96.5,54,0,0,2952,4,96.5,percent_cover,"c(-67.556755, 44.490294)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.8776051534672225,0.8411020258048346,0.8411020258048346,0.8411020258048346,-0.11922828187112741,-0.16122326828253306,-0.16122326828253306,-0.16122326828253306,2010-06-08,6,2010,2010,-0.55294358135734,dmr_rasher_steneck 10_2_159,3
dmr_rasher_steneck,10_2_159,2011,6,44.48813,-67.56432,1,2011-06-09,10,10,10,NA,NA,NA,8.5,54,0,0,2952,4,8.5,percent_cover,"c(-67.56432, 44.48813)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.0773020083364911,0.07408670693617714,0.07408670693617714,0.07408670693617714,-2.4383818114012934,-2.475906787086488,-2.475906787086488,-2.475906787086488,2011-06-09,6,2011,2011,0.44705641864266,dmr_rasher_steneck 10_2_159,3
dmr_rasher_steneck,10_2_171,2009,5,44.02038,-69.07162,1,2009-05-12,10,10,10,NA,NA,NA,75,54,0,0,2952,4,75,percent_cover,"c(-69.07162, 44.02038)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.6820765441455097,0.6537062376721513,0.6537062376721513,0.6537062376721513,-0.3680587165545891,-0.4099156405436228,-0.4099156405436228,-0.4099156405436228,2009-05-12,5,2009,2009,-1.55294358135734,dmr_rasher_steneck 10_2_171,3
dmr_rasher_steneck,10_2_171,2014,5,44.0234,-69.0716,1,2014-05-12,10,10,10,NA,NA,NA,19,54,0,0,2952,4,19,percent_cover,"c(-69.0716, 44.0234)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.17279272451686245,0.16560558021027832,0.16560558021027832,0.16560558021027832,-1.69940242099012,-1.739514820323169,-1.739514820323169,-1.739514820323169,2014-05-12,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_171,3
dmr_rasher_steneck,10_2_171,2015,5,44.02,-69.0657,1,2015-05-12,10,10,10,NA,NA,NA,35.5,54,0,0,2952,4,35.5,percent_cover,"c(-69.0657, 44.02)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.32284956422887456,0.3094209524981516,0.3094209524981516,0.3094209524981516,-1.1000646501480147,-1.1412454457968906,-1.1412454457968906,-1.1412454457968906,2015-05-12,5,2015,2015,4.44705641864266,dmr_rasher_steneck 10_2_171,3
dmr_rasher_steneck,10_2_18,2001,6,44.07907,-69.04713,1,2001-06-19,10,10,10,NA,NA,NA,7.9,54,0,0,2952,4,7.9,percent_cover,"c(-69.04713, 44.07907)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.07184539598332702,0.06885705703479994,0.06885705703479994,0.06885705703479994,-2.502923226187162,-2.5401184700877595,-2.5401184700877595,-2.5401184700877595,2001-06-19,6,2001,2001,-9.55294358135734,dmr_rasher_steneck 10_2_18,3
dmr_rasher_steneck,10_2_18,2014,5,44.079,-69.0521,1,2014-05-12,10,10,10,NA,NA,NA,4.5,54,0,0,2952,4,4.5,percent_cover,"c(-69.0521, 44.079)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.04092459264873058,0.039222374260329075,0.039222374260329075,0.039222374260329075,-2.9774093159443513,-3.011406997467694,-3.011406997467694,-3.011406997467694,2014-05-12,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_18,3
dmr_rasher_steneck,10_2_18,2018,5,44.0791,-69.0471,1,2018-05-11,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-69.0471, 44.0791)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091,2018-05-11,5,2018,2018,7.44705641864266,dmr_rasher_steneck 10_2_18,3
dmr_rasher_steneck,10_2_182,2009,6,44.39943,-68.14297,1,2009-06-05,10,10,10,NA,NA,NA,56.5,54,0,0,2952,4,56.5,percent_cover,"c(-68.14297, 44.39943)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.5138309965896173,0.492458699046354,0.492458699046354,0.492458699046354,-0.6465861722759932,-0.688241833379297,-0.688241833379297,-0.688241833379297,2009-06-05,6,2009,2009,-1.55294358135734,dmr_rasher_steneck 10_2_182,4
dmr_rasher_steneck,10_2_182,2011,6,44.40024,-68.13937,1,2011-06-02,10,10,10,NA,NA,NA,12.5,54,0,0,2952,4,12.5,percent_cover,"c(-68.13937, 44.40024)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.11367942402425162,0.10895103961202521,0.10895103961202521,0.10895103961202521,-2.0900623511376044,-2.1290433023636273,-2.1290433023636273,-2.1290433023636273,2011-06-02,6,2011,2011,0.44705641864266,dmr_rasher_steneck 10_2_182,4
dmr_rasher_steneck,10_2_182,2014,6,44.4002,-68.1394,1,2014-06-06,10,10,10,NA,NA,NA,67.5,54,0,0,2952,4,67.5,percent_cover,"c(-68.1394, 44.4002)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.6138688897309588,0.5883356139049362,0.5883356139049362,0.5883356139049362,-0.47181504530009943,-0.5136034551948481,-0.5136034551948481,-0.5136034551948481,2014-06-06,6,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_182,4
dmr_rasher_steneck,10_2_182,2018,5,44.3954,-68.1443,1,2018-05-15,10,10,10,NA,NA,NA,7,54,0,0,2952,4,7,percent_cover,"c(-68.1443, 44.3954)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.0636604774535809,0.061012582182734115,0.061012582182734115,0.061012582182734115,-2.6082888861293028,-2.644898203800014,-2.644898203800014,-2.644898203800014,2018-05-15,5,2018,2018,7.44705641864266,dmr_rasher_steneck 10_2_182,4
dmr_rasher_steneck,10_2_185,2009,6,44.50124,-67.63622,1,2009-06-10,10,10,10,NA,NA,NA,7,54,0,0,2952,4,7,percent_cover,"c(-67.63622, 44.50124)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.0636604774535809,0.061012582182734115,0.061012582182734115,0.061012582182734115,-2.6082888861293028,-2.644898203800014,-2.644898203800014,-2.644898203800014,2009-06-10,6,2009,2009,-1.55294358135734,dmr_rasher_steneck 10_2_185,3
dmr_rasher_steneck,10_2_185,2010,6,44.494688,-67.631863,1,2010-06-08,10,10,10,NA,NA,NA,22,54,0,0,2952,4,22,percent_cover,"c(-67.631863, 44.494688)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.20007578628268285,0.19175382971716437,0.19175382971716437,0.19175382971716437,-1.5602869263083459,-1.6007069895232013,-1.6007069895232013,-1.6007069895232013,2010-06-08,6,2010,2010,-0.55294358135734,dmr_rasher_steneck 10_2_185,3
dmr_rasher_steneck,10_2_185,2017,6,44.5012,-67.6361,1,2017-06-13,10,10,10,NA,NA,NA,4.5,54,0,0,2952,4,4.5,percent_cover,"c(-67.6361, 44.5012)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.04092459264873058,0.039222374260329075,0.039222374260329075,0.039222374260329075,-2.9774093159443513,-3.011406997467694,-3.011406997467694,-3.011406997467694,2017-06-13,6,2017,2017,6.44705641864266,dmr_rasher_steneck 10_2_185,3
dmr_rasher_steneck,10_2_2,2001,6,43.76509,-69.96087,1,2001-06-15,10,10,10,NA,NA,NA,44.7,54,0,0,2952,4,44.7,percent_cover,"c(-69.96087, 43.76509)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.4065176203107238,0.3896089176526022,0.3896089176526022,0.3896089176526022,-0.8758265126020949,-0.9172689160087933,-0.9172689160087933,-0.9172689160087933,2001-06-15,6,2001,2001,-9.55294358135734,dmr_rasher_steneck 10_2_2,3
dmr_rasher_steneck,10_2_2,2009,5,43.76074,-69.95305,1,2009-05-05,10,10,10,NA,NA,NA,65,54,0,0,2952,4,65,percent_cover,"c(-69.95305, 43.76074)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.5911330049261084,0.5665454059825311,0.5665454059825311,0.5665454059825311,-0.508939062898039,-0.5507011809130854,-0.5507011809130854,-0.5507011809130854,2009-05-05,5,2009,2009,-1.55294358135734,dmr_rasher_steneck 10_2_2,3
dmr_rasher_steneck,10_2_2,2014,5,43.7651,-69.9514,1,2014-05-06,10,10,10,NA,NA,NA,44.5,54,0,0,2952,4,44.5,percent_cover,"c(-69.9514, 43.7651)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.4046987495263358,0.38786570101880974,0.38786570101880974,0.38786570101880974,-0.8802029271036851,-0.9216407652676792,-0.9216407652676792,-0.9216407652676792,2014-05-06,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_2,3
dmr_rasher_steneck,10_2_211,2011,5,43.93412,-69.30068,1,2011-05-11,10,10,10,NA,NA,NA,38.5,54,0,0,2952,4,38.5,percent_cover,"c(-69.30068, 43.93412)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.35013262599469497,0.33556920200503765,0.33556920200503765,0.33556920200503765,-1.021282909835821,-1.0625623605919323,-1.0625623605919323,-1.0625623605919323,2011-05-11,5,2011,2011,0.44705641864266,dmr_rasher_steneck 10_2_211,3
