X,study_ID,Study,Site,Latitude,Longitude,max_Depth,mean_Depth,min_Depth,trajectory_ID,sample_size,sample_unit_size_sq_m,year,period,rawDate,sasDate,biomass_KG_wet_per_sq_m,Stipe_Density_num_per_sq_m,individual_per_sq_m,percent_cover,biomass_KG_wet_per_sq_m_STD,Stipe_Density_num_per_sq_m_STD,individual_per_sq_m_STD,percent_cover_STD,focalKelp,focalKelp_STD,focalUnit,elapsed,ROC,len,ECOREGION,PROVINCE,REALM,StudySite,Date,DaysSince1900,YearsSince1900,Decade,stdByECOREGION,stdByECOREGIONZ,ln_stdByECOREGION,stdByREALM,stdByREALMZ,ln_stdByREALM,stdByPROVINCE,stdByPROVINCEZ,ln_stdByPROVINCE,realLatByRealm,num_years,ProvinceSite,EcoregionSite,julian,meanjul,SiteN,StudyN,ProvinceN,EcoregionN
8665,28,steneck_gom,Jonesport - outer ram,44.4916667,-67.636667,10,10,10,3,71,1,1996,1,13362,1996-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,NA,NA,6,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - outer ram-28-3,19960801,35276,96.580424366872,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,7,Cold Temperate Northwest Atlantic:Jonesport - outer ram,Gulf of Maine/Bay of Fundy:Jonesport - outer ram,9709,11230.5,823,61,5,10
8666,28,steneck_gom,Jonesport - outer ram,44.4916667,-67.636667,10,10,10,3,31,1,1999,2,14457,1999-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,1095,NA,6,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - outer ram-28-3,19990801,36371,99.5783709787817,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,7,Cold Temperate Northwest Atlantic:Jonesport - outer ram,Gulf of Maine/Bay of Fundy:Jonesport - outer ram,10804,11230.5,823,61,5,10
8667,28,steneck_gom,Jonesport - outer ram,44.4916667,-67.636667,10,10,10,3,33,1,2000,3,14823,2000-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,366,NA,6,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - outer ram-28-3,20000801,36737,100.580424366872,2000,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,7,Cold Temperate Northwest Atlantic:Jonesport - outer ram,Gulf of Maine/Bay of Fundy:Jonesport - outer ram,11170,11230.5,823,61,5,10
8668,28,steneck_gom,Jonesport - outer ram,44.4916667,-67.636667,10,10,10,3,30,1,2001,4,15188,2001-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,365,NA,6,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - outer ram-28-3,20010801,37102,101.579739904175,2000,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,7,Cold Temperate Northwest Atlantic:Jonesport - outer ram,Gulf of Maine/Bay of Fundy:Jonesport - outer ram,11535,11230.5,823,61,5,10
8669,28,steneck_gom,Jonesport - outer ram,44.4916667,-67.636667,10,10,10,3,30,1,2002,5,15553,2002-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,365,NA,6,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - outer ram-28-3,20020801,37467,102.579055441478,2000,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,7,Cold Temperate Northwest Atlantic:Jonesport - outer ram,Gulf of Maine/Bay of Fundy:Jonesport - outer ram,11900,11230.5,823,61,5,10
8670,28,steneck_gom,Jonesport - outer ram,44.4916667,-67.636667,10,10,10,3,28,1,2003,6,15918,2003-08-01,NA,NA,NA,0.071429,NA,NA,NA,0.377964,0.0714285714,0.377964473,1,365,9999,6,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - outer ram-28-3,20030801,37832,103.578370978782,2000,0.0012223153516945,0.00410010254795813,-3.99895818810632,2.64550264444444e-4,0.00154576917143803,-5.52942908753809,9.35745476855895e-4,0.00356535541874166,-4.26611684342584,3.18864670000001,7,Cold Temperate Northwest Atlantic:Jonesport - outer ram,Gulf of Maine/Bay of Fundy:Jonesport - outer ram,12265,11230.5,823,61,5,10
8673,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,40,1,1997,1,13727,1997-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,NA,NA,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,19970801,35641,97.5797399041752,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,10074,11169.5714285714,824,61,5,10
8674,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,25,1,1998,2,14092,1998-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,365,NA,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,19980801,36006,98.5790554414784,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,10439,11169.5714285714,824,61,5,10
8675,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,31,1,1999,3,14457,1999-08-01,NA,NA,NA,2.096774,NA,NA,NA,5.664832,2.0967741935,5.6648320876,1,365,9999,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,19990801,36371,99.5783709787817,1990,0.035880870014879,0.120357849033814,-2.93759007259954,0.0077658303462963,0.0453758047270583,-4.46806097203131,0.0274686575567686,0.104660433299285,-3.20474872791906,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,10804,11169.5714285714,824,61,5,10
8676,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,31,1,2000,4,14823,2000-08-01,NA,NA,NA,0.677419,NA,NA,NA,2.006441,0.6774193548,2.0064412405,1,366,-1.127549535,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,20000801,36737,100.580424366872,2000,0.0115922810813352,0.0388848435326768,-3.5506945454934,0.00250896057333333,0.0146598753728579,-5.08116544492517,0.00887448936419214,0.0338133707570786,-3.81785320081293,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,11170,11169.5714285714,824,61,5,10
8677,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,30,1,2001,5,15188,2001-08-01,NA,NA,NA,1.666667,NA,NA,NA,4.220911,1.6666666667,4.2209112706,1,365,0.9009070278,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,20010801,37102,101.579739904175,2000,0.028520691551517,0.0956690594925375,-3.08712180654238,0.0061728395062963,0.0360679473487026,-4.61759270597415,0.0218340611358079,0.083191626472246,-3.3542804618619,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,11535,11169.5714285714,824,61,5,10
8678,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,30,1,2002,6,15553,2002-08-01,NA,NA,NA,1.9,NA,NA,NA,7.307766,1.9,7.3077662987,1,365,0.1311180078,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,20020801,37467,102.579055441478,2000,0.0325135883680791,0.109062727819311,-3.00324032257418,0.00703703703703704,0.0411174599766986,-4.53371122200595,0.0248908296943231,0.0948384541764636,-3.2703989778937,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,11900,11169.5714285714,824,61,5,10
8679,28,steneck_gom,Jonesport - ram,44.4916667,-67.635,10,10,10,5,25,1,2003,7,15918,2003-08-01,NA,NA,NA,5.8,NA,NA,NA,12.80625,5.8,12.806248475,1,365,1.1167684177,7,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - ram-28-5,20030801,37832,103.578370978782,2000,0.0992520065972941,0.332928327027372,-2.15102844738454,0.0214814814814815,0.125516456770975,-3.68149934681631,0.0759825327510917,0.289506860117626,-2.41818710270407,3.18864670000001,6,Cold Temperate Northwest Atlantic:Jonesport - ram,Gulf of Maine/Bay of Fundy:Jonesport - ram,12265,11169.5714285714,824,61,5,10
8680,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,44,1,1996,1,13362,1996-08-01,NA,NA,NA,55.13636,NA,NA,NA,27.17436,55.136363636,27.174364552,1,NA,NA,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,19960801,35276,96.580424366872,1990,0.943516332301911,3.1649064316735,-0.0401672638693211,0.204208754207407,1.19319327634944,-1.57063816330109,0.722310440646288,2.75213026113138,-0.307325919188846,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,9709,10987,825,61,5,10
8681,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,38,1,1997,2,13727,1997-08-01,NA,NA,NA,60.34211,NA,NA,NA,24.65138,60.342105263,24.651381537,1,365,0.0902824625,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,19970801,35641,97.5797399041752,1990,1.03259914304446,3.46372347491727,0.0485154197401923,0.223489278751852,1.30584952529534,-1.48195547969158,0.790507929209607,3.01197472889283,-0.218643235579333,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,10074,10987,825,61,5,10
8682,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,20,1,1998,3,14092,1998-08-01,NA,NA,NA,24.6,NA,NA,NA,17.02444,24.6,17.024440635,1,365,-0.897898258,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,19980801,36006,98.5790554414784,1990,0.420965407291972,1.41207531808161,-0.825358708081088,0.0911111111111111,0.532362902856203,-2.35582960751286,0.322270742358079,1.22790840670579,-1.09251736340061,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,10439,10987,825,61,5,10
8683,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,16,1,1999,4,14457,1999-08-01,NA,NA,NA,37.0625,NA,NA,NA,16.04356,37.0625,16.043560494,1,365,0.4101399593,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,19990801,36371,99.5783709787817,1990,0.634228878364175,2.12744071042275,-0.428721514096489,0.137268518518519,0.802060979150733,-1.95919241352826,0.485534934497817,1.84997379363957,-0.695880169416014,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,10804,10987,825,61,5,10
8684,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,34,1,2000,5,14823,2000-08-01,NA,NA,NA,44.79412,NA,NA,NA,22.76997,44.794117647,22.769968808,1,366,0.189082891,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,20000801,36737,100.580424366872,2000,0.76653552762414,2.57124666360051,-0.243795412350053,0.165904139433333,0.969379126074765,-1.77426631178182,0.586822501925764,2.23589730202112,-0.510954067669577,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,11170,10987,825,61,5,10
8685,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,29,1,2001,6,15188,2001-08-01,NA,NA,NA,57.86207,NA,NA,NA,26.59984,57.862068966,26.599844438,1,365,0.2561605611,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,20010801,37102,101.579739904175,2000,0.990159732887331,3.32136583089531,0.00724583324956304,0.214303959133333,1.25217963414657,-1.52322506618221,0.758018370733625,2.88818377694072,-0.259912822069962,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,11535,10987,825,61,5,10
8686,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,30,1,2002,7,15553,2002-08-01,NA,NA,NA,30.83333,NA,NA,NA,22.61992,30.833333333,22.619923067,1,365,-0.629896842,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,20020801,37467,102.579055441478,2000,0.527632793686808,1.76987760055741,-0.607437100758502,0.114197530862963,0.66725702593044,-2.13790800019027,0.403930131,1.53904508968913,-0.874595756078026,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,11900,10987,825,61,5,10
8687,28,steneck_gom,Jonesport - sea duck,44.491517,-67.65292,10,10,10,6,22,1,2003,8,15918,2003-08-01,NA,NA,NA,38.09091,NA,NA,NA,34.5404,38.090909091,34.540396075,1,365,0.2115240716,8,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - sea duck-28-6,20030801,37832,103.578370978782,2000,0.651827441447735,2.1864728687273,-0.402061123675042,0.141077441077778,0.824316542118557,-1.93253202310681,0.499007542676856,1.90130680861402,-0.669219778994567,3.18849700000001,7,Cold Temperate Northwest Atlantic:Jonesport - sea duck,Gulf of Maine/Bay of Fundy:Jonesport - sea duck,12265,10987,825,61,5,10
8688,28,steneck_gom,Mount Desert Island - baker island,44.2383333,-68.206667,10,10,10,7,27,1,1997,1,13727,1997-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,NA,NA,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - baker island-28-7,19970801,35641,97.5797399041752,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,2.9353133,4,Cold Temperate Northwest Atlantic:Mount Desert Island - baker island,Gulf of Maine/Bay of Fundy:Mount Desert Island - baker island,10074,10804.4,826,61,5,10
8689,28,steneck_gom,Mount Desert Island - baker island,44.2383333,-68.206667,10,10,10,7,23,1,1998,2,14092,1998-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,365,NA,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - baker island-28-7,19980801,36006,98.5790554414784,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,2.9353133,4,Cold Temperate Northwest Atlantic:Mount Desert Island - baker island,Gulf of Maine/Bay of Fundy:Mount Desert Island - baker island,10439,10804.4,826,61,5,10
8690,28,steneck_gom,Mount Desert Island - baker island,44.2383333,-68.206667,10,10,10,7,32,1,1999,3,14457,1999-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,365,NA,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - baker island-28-7,19990801,36371,99.5783709787817,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,2.9353133,4,Cold Temperate Northwest Atlantic:Mount Desert Island - baker island,Gulf of Maine/Bay of Fundy:Mount Desert Island - baker island,10804,10804.4,826,61,5,10
8691,28,steneck_gom,Mount Desert Island - baker island,44.2383333,-68.206667,10,10,10,7,30,1,2000,4,14823,2000-08-01,NA,NA,NA,0.033333,NA,NA,NA,0.182574,0.0333333333,0.1825741858,1,366,9999,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - baker island-28-7,20000801,36737,100.580424366872,2000,5.70413830448518e-4,0.0019133811878991,-4.03516123677587,1.2345679e-4,7.21358946238266e-4,-5.56563213620764,4.36681222270742e-4,0.00166383252774781,-4.3023198920954,2.9353133,4,Cold Temperate Northwest Atlantic:Mount Desert Island - baker island,Gulf of Maine/Bay of Fundy:Mount Desert Island - baker island,11170,10804.4,826,61,5,10
8692,28,steneck_gom,Mount Desert Island - baker island,44.2383333,-68.206667,10,10,10,7,30,1,2001,5,15188,2001-08-01,NA,NA,NA,0.1,NA,NA,NA,0.402578,0.1,0.4025778999,1,365,1.0993647628,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - baker island-28-7,20010801,37102,101.579739904175,2000,0.0017112414930568,0.00574014356943744,-3.97264087976228,3.7037037037037e-4,0.00216407684087888,-5.50311177919405,0.00131004366812227,0.00499149758823493,-4.23979953508181,2.9353133,4,Cold Temperate Northwest Atlantic:Mount Desert Island - baker island,Gulf of Maine/Bay of Fundy:Mount Desert Island - baker island,11535,10804.4,826,61,5,10
8693,28,steneck_gom,Mount Desert Island - great duck,44.1466667,-68.251667,10,10,10,8,39,1,1997,1,13727,1997-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,NA,NA,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - great duck-28-8,19970801,35641,97.5797399041752,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,2.8436467,4,Cold Temperate Northwest Atlantic:Mount Desert Island - great duck,Gulf of Maine/Bay of Fundy:Mount Desert Island - great duck,10074,10804.4,827,61,5,10
8694,28,steneck_gom,Mount Desert Island - great duck,44.1466667,-68.251667,10,10,10,8,25,1,1998,2,14092,1998-08-01,NA,NA,NA,0,NA,NA,NA,0,0,0,1,365,NA,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - great duck-28-8,19980801,36006,98.5790554414784,1990,0,0,-4.0679510595666,0,0,-5.59842195899838,0,0,-4.33510971488613,2.8436467,4,Cold Temperate Northwest Atlantic:Mount Desert Island - great duck,Gulf of Maine/Bay of Fundy:Mount Desert Island - great duck,10439,10804.4,827,61,5,10
8695,28,steneck_gom,Mount Desert Island - great duck,44.1466667,-68.251667,10,10,10,8,36,1,1999,3,14457,1999-08-01,NA,NA,NA,1.027778,NA,NA,NA,3.850685,1.0277777778,3.8506853647,1,365,9999,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Mount Desert Island - great duck-28-8,19990801,36371,99.5783709787817,1990,0.0175877597901307,0.0589959200204938,-3.36101055686337,0.00380658436222222,0.0222419008650694,-4.89148145629513,0.0134643377004367,0.0513015029913015,-3.62816921218289,2.8436467,4,Cold Temperate Northwest Atlantic:Mount Desert Island - great duck,Gulf of Maine/Bay of Fundy:Mount Desert Island - great duck,10804,10804.4,827,61,5,10
